Largos Medios de Colas - Time Weigthed Histogram
procesed = 37503.7
mean = 59.3497	variance = 621.577	sd = 24.9315
minX = 0	maxX = 114
minY = 6.55646	maxY = 852.331

  4.5828         0
  4.6056         0
  4.6284         0
  4.6512         0
   4.674         0
  4.6968         0
  4.7196         0
  4.7424         0
  4.7652         0
   4.788         0
  4.8108         0
  4.8336         0
  4.8564         0
  4.8792         0
   4.902         0
  4.9248         0
  4.9476         0
  4.9704         0
  4.9932   142.535
   5.016         0
  5.0388         0
  5.0616         0
  5.0844         0
  5.1072         0
    5.13         0
  5.1528         0
  5.1756         0
  5.1984         0
  5.2212         0
   5.244         0
  5.2668         0
  5.2896         0
  5.3124         0
  5.3352         0
   5.358         0
  5.3808         0
  5.4036         0
  5.4264         0
  5.4492         0
   5.472         0
  5.4948         0
  5.5176         0
  5.5404         0
  5.5632         0
   5.586         0
  5.6088         0
  5.6316         0
  5.6544         0
  5.6772         0
     5.7         0
  5.7228         0
  5.7456         0
  5.7684         0
  5.7912         0
   5.814         0
  5.8368         0
  5.8596         0
  5.8824         0
  5.9052         0
   5.928         0
  5.9508         0
  5.9736         0
  5.9964   125.676
  6.0192         0
   6.042         0
  6.0648         0
  6.0876         0
  6.1104         0
  6.1332         0
   6.156         0
  6.1788         0
  6.2016         0
  6.2244         0
  6.2472         0
    6.27         0
  6.2928         0
  6.3156         0
  6.3384         0
  6.3612         0
   6.384         0
  6.4068         0
  6.4296         0
  6.4524         0
  6.4752         0
   6.498         0
  6.5208         0
  6.5436         0
  6.5664         0
  6.5892         0
   6.612         0
  6.6348         0
  6.6576         0
  6.6804         0
  6.7032         0
   6.726         0
  6.7488         0
  6.7716         0
  6.7944         0
  6.8172         0
    6.84         0
  6.8628         0
  6.8856         0
  6.9084         0
  6.9312         0
   6.954         0
  6.9768         0
  6.9996   184.866
  7.0224         0
  7.0452         0
   7.068         0
  7.0908         0
  7.1136         0
  7.1364         0
  7.1592         0
   7.182         0
  7.2048         0
  7.2276         0
  7.2504         0
  7.2732         0
   7.296         0
  7.3188         0
  7.3416         0
  7.3644         0
  7.3872         0
    7.41         0
  7.4328         0
  7.4556         0
  7.4784         0
  7.5012         0
   7.524         0
  7.5468         0
  7.5696         0
  7.5924         0
  7.6152         0
   7.638         0
  7.6608         0
  7.6836         0
  7.7064         0
  7.7292         0
   7.752         0
  7.7748         0
  7.7976         0
  7.8204         0
  7.8432         0
   7.866         0
  7.8888         0
  7.9116         0
  7.9344         0
  7.9572         0
    7.98   166.456
  8.0028         0
  8.0256         0
  8.0484         0
  8.0712         0
   8.094         0
  8.1168         0
  8.1396         0
  8.1624         0
  8.1852         0
   8.208         0
  8.2308         0
  8.2536         0
  8.2764         0
  8.2992         0
   8.322         0
  8.3448         0
  8.3676         0
  8.3904         0
  8.4132         0
   8.436         0
  8.4588         0
  8.4816         0
  8.5044         0
  8.5272         0
    8.55         0
  8.5728         0
  8.5956         0
  8.6184         0
  8.6412         0
   8.664         0
  8.6868         0
  8.7096         0
  8.7324         0
  8.7552         0
   8.778         0
  8.8008         0
  8.8236         0
  8.8464         0
  8.8692         0
   8.892         0
  8.9148         0
  8.9376         0
  8.9604         0
  8.9832   142.583
   9.006         0
