Largos de la Cola vs Tiempo - Time Series Histogram
procesed = 246654
mean = 8841.51	variance = 6.5811e+006	sd = 2565.37
minX = 0	maxX = 12501
minY = 0	maxY = 128.847

 825.066   3.19234
 827.566   4.79992
 830.066   3.20774
 832.567   4.81507
 835.067   3.20874
 837.567   4.81197
 840.067   3.20745
 842.567   4.82284
 845.068   3.22933
 847.568   4.84932
 850.068   3.23355
 852.568   4.85033
 855.068   3.22326
 857.569   4.83489
 860.069   3.22326
 862.569   4.83489
 865.069   3.22326
 867.569   4.83489
  870.07   3.16805
  872.57   4.75208
  875.07   3.16119
  877.57   4.74179
  880.07   3.16119
 882.571   4.74179
 885.071   3.16119
 887.571   4.74179
 890.071   3.16119
 892.571   4.74179
 895.072   3.16119
 897.572   4.74179
 900.072   3.16119
 902.572   4.74179
 905.072   3.16119
 907.573   4.74179
 910.073   3.16119
 912.573   4.74179
 915.073   3.16119
 917.573   4.74179
 920.074   3.16119
 922.574   4.74179
 925.074   3.16119
 927.574   4.74179
 930.074   3.16119
 932.575   4.74179
 935.075   3.16119
 937.575   4.74179
 940.075   3.16119
 942.575   4.74179
 945.076   3.16119
 947.576   4.74179
 950.076   3.16119
 952.576   4.74179
 955.076   3.16119
 957.577   4.74179
 960.077   3.16119
 962.577   4.74179
 965.077   3.16119
 967.577   4.74179
 970.078   3.16119
 972.578   4.74179
 975.078   3.16119
 977.578   4.74179
 980.078   3.16119
 982.579   4.74179
 985.079   3.16119
 987.579   4.74179
 990.079   3.16119
 992.579   4.74179
  995.08   3.16119
  997.58   4.74179
 1000.08   3.16119
 1002.58   4.74179
 1005.08   3.16119
 1007.58   4.74179
 1010.08   3.16119
 1012.58   4.74179
 1015.08   3.16119
 1017.58   4.74179
 1020.08   3.16119
 1022.58   4.74179
 1025.08   3.16119
 1027.58   4.74179
 1030.08   3.16119
 1032.58   4.74179
 1035.08   3.16119
 1037.58   4.74179
 1040.08   3.16119
 1042.58   4.74179
 1045.08   3.16119
 1047.58   4.74179
 1050.08   3.16119
 1052.58   4.74179
 1055.08   3.16119
 1057.58   4.74179
 1060.08   3.16119
 1062.59   4.74179
 1065.09   3.16119
 1067.59   4.74179
 1070.09   3.16119
 1072.59   4.74179
 1075.09   3.16119
 1077.59   4.74179
 1080.09   3.16119
 1082.59   4.74179
 1085.09   3.16119
 1087.59   4.74179
 1090.09   3.16119
 1092.59   4.74179
 1095.09   3.16119
 1097.59   4.74179
 1100.09   3.16119
 1102.59   4.74179
 1105.09   3.16119
 1107.59   4.74179
 1110.09   3.16119
 1112.59   4.74179
 1115.09   3.16119
 1117.59   4.74179
 1120.09   3.16119
 1122.59   4.74179
 1125.09   3.16119
 1127.59   4.74179
 1130.09   3.16119
 1132.59   4.74179
 1135.09   3.16119
 1137.59   4.74179
 1140.09   3.16119
 1142.59   4.74179
 1145.09   3.16119
 1147.59   4.74179
 1150.09   3.16119
 1152.59   4.74179
 1155.09   3.16119
 1157.59   4.74179
 1160.09   3.16119
 1162.59   4.74179
 1165.09   3.16119
 1167.59   4.74179
 1170.09   3.16119
 1172.59   4.74179
 1175.09   3.16119
 1177.59   4.74179
 1180.09   3.16119
 1182.59   4.74179
 1185.09   3.16119
  1187.6   4.74179
  1190.1   3.16119
  1192.6   4.74179
  1195.1   3.16119
  1197.6   4.74179
  1200.1   3.16119
  1202.6   4.74179
  1205.1   3.16119
  1207.6   4.74179
  1210.1   3.16119
  1212.6   4.74179
  1215.1   3.16119
  1217.6   4.74179
  1220.1   3.16119
  1222.6   4.74179
  1225.1   3.16119
  1227.6   4.74179
  1230.1   3.16119
  1232.6   4.74179
  1235.1   2.69983
  1237.6   3.35729
  1240.1   2.23806
  1242.6   3.35709
  1245.1   2.24844
  1247.6   3.37266
  1250.1   2.24844
  1252.6   3.40286
  1255.1   2.28112
  1257.6   3.43298
  1260.1   2.29912
  1262.6    3.4494
  1265.1    2.2996
  1267.6   3.47267
  1270.1   2.33402
  1272.6   3.50381
  1275.1   2.34224
  1277.6   3.52292
  1280.1   2.34861
  1282.6   3.57234
  1285.1   2.38933
  1287.6   3.60517
  1290.1   2.40673
  1292.6    3.6101
  1295.1   2.41635
  1297.6   3.62755
  1300.1   2.41837
  1302.6   3.62755
  1305.1   2.41837
  1307.6   3.62755
  1310.1   2.45443
