Largos de la Cola vs Tiempo - Time Series Histogram
procesed = 1247.84
mean = 5457.19	variance = 1.52713e+006	sd = 1235.77
minX = 0	maxX = 7501
minY = 0	maxY = 0.734935

  373.55         0
  375.05         0
  376.55         0
  378.05         0
 379.551         0
 381.051         0
 382.551         0
 384.051         0
 385.551         0
 387.052         0
 388.552         0
 390.052         0
 391.552         0
 393.052         0
 394.553         0
 396.053         0
 397.553         0
 399.053         0
 400.553         0
 402.054         0
 403.554         0
 405.054         0
 406.554         0
 408.054         0
 409.555         0
 411.055         0
 412.555         0
 414.055         0
 415.555         0
 417.056         0
 418.556         0
 420.056         0
 421.556         0
 423.056         0
 424.557         0
 426.057         0
 427.557         0
 429.057         0
 430.557         0
 432.058         0
 433.558         0
 435.058         0
 436.558         0
 438.058         0
 439.559         0
 441.059         0
 442.559         0
 444.059         0
 445.559         0
  447.06         0
  448.56         0
  450.06         0
  451.56         0
  453.06         0
 454.561         0
 456.061         0
 457.561         0
 459.061         0
 460.561         0
 462.062         0
 463.562         0
 465.062         0
 466.562         0
 468.062         0
 469.563         0
 471.063         0
 472.563         0
 474.063         0
 475.563         0
 477.064         0
 478.564         0
 480.064         0
 481.564         0
 483.064         0
 484.565         0
 486.065         0
 487.565         0
 489.065         0
 490.565         0
 492.066         0
 493.566         0
 495.066         0
 496.566         0
 498.066         0
 499.567         0
 501.067         0
 502.567         0
 504.067         0
 505.567         0
 507.068         0
 508.568         0
 510.068         0
 511.568         0
 513.068         0
 514.569         0
 516.069         0
 517.569         0
 519.069         0
 520.569         0
  522.07         0
  523.57         0
  525.07         0
  526.57         0
  528.07         0
 529.571         0
 531.071         0
 532.571         0
 534.071         0
 535.571         0
 537.072         0
 538.572         0
 540.072         0
 541.572         0
 543.072         0
 544.573         0
 546.073         0
 547.573         0
 549.073         0
 550.573         0
 552.074         0
 553.574         0
 555.074         0
 556.574         0
 558.074         0
 559.575         0
 561.075         0
 562.575         0
 564.075         0
 565.575         0
 567.076         0
 568.576         0
 570.076         0
 571.576         0
 573.076         0
 574.577         0
 576.077         0
 577.577         0
 579.077         0
 580.577         0
 582.078         0
 583.578         0
 585.078         0
 586.578         0
 588.078         0
 589.579         0
 591.079         0
 592.579         0
 594.079         0
 595.579         0
  597.08         0
