Tiempos de Espera - Observation Histogram
procesed = 6194
mean = 357.3	variance = 21807.1	sd = 147.672
minX = 0	maxX = 653.214
minY = 1	maxY = 70

 79.6921         1
 79.8227         0
 79.9534         0
  80.084         1
 80.2147         2
 80.3453         1
 80.4759         1
 80.6066         0
 80.7372         3
 80.8679         4
 80.9985         1
 81.1292         0
 81.2598         1
 81.3904         1
 81.5211         1
 81.6517         1
 81.7824         1
  81.913         0
 82.0437         1
 82.1743         0
 82.3049         2
 82.4356         0
 82.5662         1
 82.6969         1
 82.8275         0
 82.9581         1
 83.0888         1
 83.2194         1
 83.3501         0
 83.4807         2
 83.6114         0
  83.742         0
 83.8726         2
 84.0033         0
 84.1339         1
 84.2646         3
 84.3952         0
 84.5259         2
 84.6565         1
 84.7871         0
 84.9178         2
 85.0484         2
 85.1791         0
 85.3097         1
 85.4404         0
  85.571         1
 85.7016         3
 85.8323         2
 85.9629         0
 86.0936         0
 86.2242         2
 86.3549         1
 86.4855         1
 86.6161         2
 86.7468         3
 86.8774         0
 87.0081         3
 87.1387         1
 87.2694         1
    87.4         1
 87.5306         1
 87.6613         2
 87.7919         0
 87.9226         0
 88.0532         0
 88.1839         1
 88.3145         0
 88.4451         1
 88.5758         0
 88.7064         1
 88.8371         1
 88.9677         2
 89.0984         0
  89.229         1
 89.3596         2
 89.4903         0
 89.6209         2
 89.7516         1
 89.8822         3
 90.0129         1
 90.1435         1
 90.2741         1
 90.4048         1
 90.5354         2
 90.6661         2
 90.7967         5
 90.9274         0
  91.058         0
 91.1886         1
 91.3193         0
 91.4499         0
 91.5806         1
 91.7112         2
 91.8419         2
 91.9725         2
 92.1031         0
 92.2338         0
 92.3644         3
 92.4951         2
 92.6257         0
 92.7564         1
  92.887         1
 93.0176         1
 93.1483         0
 93.2789         1
 93.4096         0
 93.5402         0
 93.6709         1
 93.8015         2
 93.9321         3
 94.0628         2
 94.1934         1
 94.3241         0
 94.4547         2
 94.5854         0
  94.716         0
 94.8466         0
 94.9773         1
 95.1079         0
 95.2386         3
 95.3692         2
 95.4999         1
 95.6305         1
 95.7611         0
 95.8918         2
 96.0224         3
 96.1531         1
 96.2837         0
 96.4144         0
  96.545         2
 96.6756         0
 96.8063         1
 96.9369         1
 97.0676         2
 97.1982         1
 97.3289         0
 97.4595         1
 97.5901         1
 97.7208         0
 97.8514         0
 97.9821         2
 98.1127         1
 98.2434         0
  98.374         1
 98.5046         0
 98.6353         1
 98.7659         1
 98.8966         0
 99.0272         3
 99.1579         0
 99.2885         1
 99.4191         2
 99.5498         1
 99.6804         2
 99.8111         2
 99.9417         3
 100.072         3
 100.203         0
 100.334         0
 100.464         0
 100.595         3
 100.726         0
 100.856         2
 100.987         1
 101.117         1
 101.248         2
 101.379         2
 101.509         1
  101.64         0
 101.771         2
 101.901         1
 102.032         0
 102.163         1
 102.293         1
 102.424         0
 102.555         1
 102.685         1
 102.816         1
 102.946         0
 103.077         1
 103.208         0
 103.338         0
 103.469         0
   103.6         1
  103.73         1
 103.861         0
 103.992         1
 104.122         1
 104.253         2
 104.384         0
 104.514         0
 104.645         2
 104.775         0
 104.906         2
 105.037         0
 105.167         0
 105.298         3
 105.429         3
 105.559         0
  105.69         0
 105.821         0
 105.951         2
 106.082         0
 106.213         0
 106.343         1
 106.474         1
 106.604         2
 106.735         0
 106.866         0
 106.996         0
 107.127         2
 107.258         0
 107.388         2
 107.519         0
  107.65         0
  107.78         1
 107.911         1
 108.042         0
 108.172         1
 108.303         0
 108.433         0
 108.564         2
 108.695         2
 108.825         0
 108.956         2
 109.087         0
 109.217         0
 109.348         0
 109.479         0
 109.609         0
  109.74         0
 109.871         0
 110.001         0
 110.132         0
 110.262         0
 110.393         1
 110.524         1
 110.654         0
 110.785         0
 110.916         0
 111.046         0
 111.177         0
 111.308         0
 111.438         1
 111.569         1
   111.7         0
  111.83         0
 111.961         0
 112.091         2
 112.222         0
 112.353         0
 112.483         0
 112.614         0
 112.745         1
 112.875         0
 113.006         0
 113.137         1
 113.267         0
 113.398         0
 113.529         0
 113.659         0
  113.79         0
  113.92         0
 114.051         1
 114.182         1
 114.312         1
 114.443         1
 114.574         1
 114.704         0
 114.835         0
 114.966         2
 115.096         0
 115.227         0
 115.358         1
 115.488         0
 115.619         0
 115.749         0
  115.88         0
 116.011         0
